# DDS,RB1A,RB2,RB3,RB4,RB1B,,RB1A',RB1B'
0.6030150753768845,0.5796743298257091,0.862748082835552,0.6030150753768845,0.9860214027486689,0.9846332994986866,0.6030150753768845,0.5796743298257091,0.9846332994986866
0.6080402010050251,0.5873731747034747,0.8673465914575497,0.6080402010050251,0.9885945514737043,0.986480482466333,0.6080402010050251,0.5873731747034747,0.986480482466333
0.6130653266331658,0.5948041073428239,0.8718470789521331,0.6130653266331658,0.9912251378052511,0.9881999257703005,0.6130653266331658,0.5948041073428239,0.9881999257703005
0.6180904522613065,0.6008619897602882,0.8758452081687184,0.6180904522613065,0.9941500918701673,0.9892647032979129,0.6180904522613065,0.6008619897602882,0.9892647032979129
0.6231155778894473,0.6069198721777525,0.8798433373853036,0.6231155778894473,0.9970750459350838,0.9903294808255255,0.6231155778894473,0.6069198721777525,0.9903294808255255
0.628140703517588,0.6129777545952169,0.8838414666018889,0.628140703517588,1.0,0.991394258353138,0.628140703517588,0.6129777545952169,0.991394258353138
0.6331658291457286,0.6191554039033338,0.887675148781592,0.6331658291457286,1.05,0.9924667194767344,0.6331658291457286,0.6191554039033338,0.9924667194767344
0.6381909547738693,0.626387001849196,0.8900616970367338,0.6381909547738693,1.05,0.9936067962449896,0.6381909547738693,0.626387001849196,0.9936067962449896
0.6432160804020101,0.6336185997950583,0.8924482452918755,0.6432160804020101,1.05,0.9947468730132448,0.6432160804020101,0.6336185997950583,0.9947468730132448
0.6482412060301508,0.6408501977409206,0.8948347935470172,0.6482412060301508,1.05,0.9958869497815,0.6482412060301508,0.6408501977409206,0.9958869497815
0.6532663316582915,0.6480640589919863,0.8971831865209239,0.6532663316582915,1.05,0.9969985732540163,0.6532663316582915,0.6480640589919863,0.9969985732540163
0.6582914572864321,0.6548611079153337,0.8986349303858092,0.6582914572864321,1.05,0.9974415442766679,0.6582914572864321,0.6548611079153337,0.9974415442766679
0.6633165829145728,0.6616581568386812,0.9000866742506944,0.6633165829145728,1.05,0.9978845152993193,0.6633165829145728,0.6616581568386812,0.9978845152993193
0.6683417085427136,0.6684552057620288,0.9015384181155797,0.6683417085427136,1.05,0.9983274863219707,0.6683417085427136,0.6684552057620288,0.9983274863219707
0.6733668341708543,0.6752522546853763,0.9029901619804649,0.6733668341708543,1.05,0.9987704573446221,0.6733668341708543,0.6752522546853763,0.9987704573446221
0.678391959798995,0.6814398632175213,0.9061965870065323,0.678391959798995,1.05,0.9988503786971026,0.678391959798995,0.6814398632175213,0.9988503786971026
0.6834170854271356,0.6876147750748494,0.9094395678901243,0.6834170854271356,1.05,0.9989227365147878,0.6834170854271356,0.6876147750748494,0.9989227365147878
0.6884422110552764,0.6937896869321776,0.9126825487737162,0.6884422110552764,1.05,0.998995094332473,0.6884422110552764,0.6937896869321776,0.998995094332473
0.6934673366834171,0.6999645987895058,0.9159255296573081,0.6934673366834171,1.05,0.9990674521501582,0.6934673366834171,0.6999645987895058,0.9990674521501582
0.6984924623115578,0.7062169558622345,0.9169498708974027,0.6984924623115578,1.05,0.9992905404160702,0.6984924623115578,0.7062169558622345,0.9992905404160702
0.7035175879396985,0.71247619695411,0.9177769997247416,0.7035175879396985,1.05,0.9995270269440468,0.7035175879396985,0.71247619695411,0.9995270269440468
0.7085427135678392,0.7187354380459854,0.9186041285520806,0.7085427135678392,1.05,0.9997635134720234,0.7085427135678392,0.7187354380459854,0.9997635134720234
0.7135678391959799,0.7249946791378609,0.9194312573794197,0.7135678391959799,1.05,1.0,0.7135678391959799,0.7249946791378609,1.0
0.7185929648241206,0.7323204432479032,0.921643872824843,0.7185929648241206,1.05,1.05,0.7185929648241206,0.7323204432479032,1.05
0.7236180904522613,0.7398239611943068,0.9240874027066135,0.7236180904522613,1.05,1.05,0.7236180904522613,0.7398239611943068,1.05
0.7286432160804021,0.7473274791407105,0.926530932588384,0.7286432160804021,1.05,1.05,0.7286432160804021,0.7473274791407105,1.05
0.7336683417085427,0.7548309970871139,0.9289744624701547,0.7336683417085427,1.05,1.05,0.7336683417085427,0.7548309970871139,1.05
