# DDS,RB1A,RB2,RB3,RB4,RB1B,,RB1A',RB1B'
8.47E-01,8.47E-01,8.47E-01,8.47E-01,8.47E-01,8.47E-01,8.47E-01,8.47E-01,8.47E-01
8.64E-01,8.64E-01,8.64E-01,8.64E-01,8.64E-01,8.64E-01,8.64E-01,8.64E-01,8.64E-01
8.81E-01,8.81E-01,8.81E-01,8.81E-01,8.81E-01,8.81E-01,8.81E-01,8.81E-01,8.81E-01
8.98E-01,8.98E-01,8.98E-01,8.98E-01,8.98E-01,8.98E-01,8.98E-01,8.98E-01,8.98E-01
9.15E-01,9.15E-01,9.15E-01,9.15E-01,9.15E-01,9.15E-01,9.15E-01,9.15E-01,9.15E-01
9.32E-01,9.32E-01,9.32E-01,9.32E-01,9.32E-01,9.32E-01,9.32E-01,9.32E-01,9.32E-01
9.49E-01,9.49E-01,9.49E-01,9.49E-01,9.49E-01,9.49E-01,9.49E-01,9.49E-01,9.49E-01
9.66E-01,9.66E-01,9.66E-01,9.66E-01,9.66E-01,9.66E-01,9.66E-01,9.66E-01,9.66E-01
9.83E-01,9.83E-01,9.83E-01,9.83E-01,9.83E-01,9.83E-01,9.83E-01,9.83E-01,9.83E-01
1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
